Type	Date	Time	Source	Category	Event	User	Computer
Error	6/12/2022	1:00:07 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	11:05:07 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	9:32:07 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	7:51:07 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	6:05:06 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/11/2022	5:20:50 PM	SceCli	None	1704	N/A	BO126B-041780
Error	6/11/2022	4:28:06 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	2:47:06 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/11/2022	2:26:23 PM	AntiVirus	None	7	N/A	BO126B-041780
Error	6/11/2022	1:16:05 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/11/2022	12:54:58 PM	gusvc	None	0	N/A	BO126B-041780
Information	6/11/2022	12:53:48 PM	gusvc	None	0	N/A	BO126B-041780
Error	6/11/2022	11:41:05 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	10:01:05 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	8:10:05 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	6:25:05 AM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/11/2022	4:35:05 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/11/2022	4:16:42 AM	AntiVirus	None	2	N/A	BO126B-041780
Warning	6/11/2022	3:29:23 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	3:29:12 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	3:25:36 AM	AntiVirus	None	6	N/A	BO126B-041780
Error	6/11/2022	3:04:04 AM	Userenv   	None	1030	d-user	BO126B-041780
Warning	6/11/2022	3:00:19 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:59:25 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:59:22 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:58:57 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:55:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:51:28 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:42:32 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:42:31 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:31:51 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:31:40 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:24:55 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:12:58 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:12:36 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:12:16 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:12:03 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:10:35 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:09:21 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:06:03 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:05:52 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:05:44 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:05:39 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	2:05:29 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	1:38:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	1:38:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	1:38:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	1:38:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	1:38:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/11/2022	1:38:05 AM	AntiVirus	None	6	N/A	BO126B-041780
Error	6/11/2022	1:24:03 AM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/11/2022	1:11:44 AM	SceCli	None	1704	N/A	BO126B-041780
Information	6/11/2022	1:00:51 AM	AntiVirus	None	3	N/A	BO126B-041780
Error	6/10/2022	11:38:01 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/10/2022	10:05:01 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/10/2022	8:08:01 PM	Userenv   	None	1030	d-user	BO126B-041780
Error	6/10/2022	6:22:01 PM	Userenv   	None	1030	d-user	BO126B-041780
Information	6/10/2022	2:27:32 PM	AntiVirus	None	7	N/A	BO126B-041780
Information	6/10/2022	12:15:04 PM	gusvc	None	0	N/A	BO126B-041780
Information	6/10/2022	12:13:54 PM	gusvc	None	0	N/A	BO126B-041780
Information	6/10/2022	8:43:41 AM	SceCli	None	1704	N/A	BO126B-041780
Error	6/10/2022	8:43:34 AM	Application Hang	(101)	1002	N/A	BO126B-041780
Error	6/10/2022	8:43:33 AM	Application Hang	(101)	1002	N/A	BO126B-041780
Information	6/10/2022	8:17:26 AM	gusvc	None	0	N/A	BO126B-041780
Information	6/10/2022	8:16:34 AM	gupdate	None	0	N/A	BO126B-041780
Information	6/10/2022	8:16:27 AM	gupdate	None	0	N/A	BO126B-041780
Information	6/10/2022	8:16:26 AM	gusvc	None	0	N/A	BO126B-041780
Information	6/10/2022	4:34:30 AM	AntiVirus	None	2	N/A	BO126B-041780
Warning	6/10/2022	3:45:56 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:45:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:37:52 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:11:07 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:10:03 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:10:00 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:09:34 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:05:54 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	3:00:49 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:54:14 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:54:14 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:43:20 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:43:07 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:35:46 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:23:16 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:22:52 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:22:23 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:22:09 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:20:38 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:19:10 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:15:40 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:15:26 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:15:18 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:15:12 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	2:15:00 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	1:42:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	1:42:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	1:42:45 AM	AntiVirus	None	6	N/A	BO126B-041780
Warning	6/10/2022	1:42:45 AM	AntiVirus	None	6	N/A	BO126B-041780
